Date,AGT,AD,WEED,CSH.UN,CSU,DOL,H,KXS,MFI,NPI,PKI,RY,SU,SPB,TCS,TVK,X,ZYME,Market,RiskFree
6/6/2014,0.754042549,0.168494731,-0.36101083,0.037661466,1.176277164,0.582587262,NA,NA,0.27907855,-0.053875134,0.23306563,0.092679668,-0.157440831,0.079835008,0.396250709,0.110769452,-0.128111267,NA,0.214020275,1.649
6/9/2014,0.772221448,0.149862201,-0.330909091,0.02438785,1.140600838,0.514130991,NA,NA,0.273407606,-0.05374166,0.206974287,0.075474099,-0.148465483,0.076507499,0.425359872,0.12338102,-0.112963298,NA,0.209081879,1.65
6/10/2014,0.827369113,0.166451316,-0.342960289,0.051069394,1.114167687,0.573700177,NA,1.410906221,0.292211536,-0.043695203,0.213658311,0.080310211,-0.145280761,0.074129218,0.412934682,0.131049211,-0.097466033,NA,0.294909674,1.632
6/11/2014,0.823964246,0.182856683,-0.357388316,0.065536185,1.110752599,0.566030586,NA,1.387394235,0.280207483,-0.046626649,0.191144521,0.084123964,-0.172457906,0.073387357,0.378282792,0.124257386,-0.093319486,NA,0.287384105,1.632
6/12/2014,0.718903704,0.220363319,-0.376271186,0.061683775,1.075455684,0.600305829,NA,1.368380737,0.274558939,-0.058387657,0.210900741,0.08728617,-0.211357288,0.078952883,0.396250709,0.154832018,-0.095657505,NA,0.281637555,1.665
6/13/2014,0.714561099,0.219781024,-0.386206897,0.061729794,1.085882312,0.622499006,NA,1.307692308,0.273947402,-0.046467448,0.215647501,0.080033749,-0.239282394,0.081393805,0.431583863,0.149874845,-0.06008525,NA,0.282036545,1.627
6/16/2014,0.776268878,0.215163671,-0.37716263,0.066660877,1.104396391,0.676610981,NA,1.330000077,0.206651164,-0.054474008,0.247215136,0.085486465,-0.240284436,0.07515838,0.458474672,0.122033809,-0.088295295,NA,0.287744008,1.565
6/17/2014,0.71340669,0.188402157,-0.3728223,0.059726482,1.154016123,0.668380503,NA,1.335907336,0.201971092,-0.059093941,0.211503291,0.078127944,-0.233899037,0.050352728,0.487419146,0.104074056,-0.085540586,NA,0.28137073,1.523
6/18/2014,0.673123211,0.151263508,-0.382758621,0.11399449,1.103336637,0.678874069,NA,1.326923077,0.207030508,-0.045690787,0.215213384,0.072796368,-0.243962215,0.025542348,0.423803588,0.111431895,-0.080533992,NA,0.271899217,1.544
6/19/2014,0.591447079,0.122119417,-0.383275261,0.097997833,0.995437519,0.673829272,NA,1.329738059,0.202743477,-0.01533415,0.23061048,0.062267945,-0.244597794,0.008973582,0.409893076,0.121599076,-0.082523143,NA,0.257557904,1.544
6/20/2014,0.608362349,0.114516635,-0.413114754,0.07533882,1.103492312,0.70790298,NA,1.273497689,0.233679445,-0.026381179,0.258668125,0.072143679,-0.240023552,0.010316424,0.396250709,0.114739098,-0.077703215,NA,0.263230348,1.568
6/23/2014,0.551617488,0.149447057,-0.393939394,0.099783355,1.134495058,0.754683218,NA,1.254826332,0.230767105,-0.03112552,0.269290311,0.076465103,-0.225614446,0.008934434,0.398353262,0.081191684,-0.076467455,NA,0.267669224,1.593
6/24/2014,0.504077396,0.099136666,-0.300341297,0.106465234,1.152043471,0.760563746,NA,1.176245211,0.213883007,-0.019531128,0.291775162,0.08039353,-0.17535376,0.013575041,0.407492644,0.114965866,-0.069082163,NA,0.272269289,1.568
6/25/2014,0.553120987,0.126886455,-0.320819113,0.090953382,1.097441249,0.796771351,NA,1.239080383,0.224909536,-0.025486823,0.27192241,0.08355075,-0.203830416,0.007664379,0.40469999,0.142871371,-0.075274141,NA,0.275903859,1.57
6/26/2014,0.53947304,0.112618117,-0.324137931,0.086886809,1.090786126,0.776057721,NA,1.191011236,0.219400508,-0.054971434,0.279222002,0.078733308,-0.220072316,-0.02908732,0.412350468,0.147298682,-0.057609416,NA,0.265497475,1.583
